Datum,Latitude,Longitude,UUID,MOVEMENT_C,MOVEMENT_D,Rainfall_7d_mm,Rainfall_14d_mm,Rainfall_21d_mm,BIO01_Historical_Mean,BIO05_Historical_Max,BIO06_Historical_Min,BIO12_Historical_Prec,BIO13_Historical_Prec,BIO15_Historical_Prec,Elevation,Slope
2024-07-12 10:00:00,46.27249442627869,11.257424672285998,773063b4-f2b1-11ef-a786-0242ac120004,5.0,Schnelles Fliessen (Mure),0.0,0.1,0.24,8.958333,23.8,-3.6,637.0,77.0,38.908596,874,32
2024-07-21 17:00:00,46.708081720083406,11.92627983272834,648daf50-f2b1-11ef-a284-0242ac120004,5.0,Schnelles Fliessen (Mure),0.2300000041723251,0.02,0.01,6.3416667,20.9,-6.3,789.0,116.0,46.1671,1215,3
2024-10-09 21:00:00,46.55358509632782,11.758732545912777,f89c5246-81b3-11f0-9d27-b2374db36148,2.0,Gleitung rotational/translational,15.920000076293944,1.48,0.07,4.6666665,18.6,-6.8,843.0,121.0,47.142113,1600,4
2020-10-01 00:00:00,46.65523772300796,11.90360360247025,04e6d318-6897-11f0-bea8-b2374db36148,2.0,Gleitung rotational/translational,32.8955078125,32.63,44.67,6.0,20.4,-6.4,795.0,117.0,47.46998,1299,13
2020-12-07 00:00:00,46.42706997495975,11.347703441683286,62ff62ec-f88a-11ec-a2b8-0242ac13000d,5.0,Schnelles Fliessen (Mure),144.54443359375,0.0,4.17,11.266666,27.3,-2.8,821.0,102.0,32.05644,322,19
2020-12-07 00:00:00,46.602179328322414,11.200975361133583,18ad6a22-f88a-11ec-b4f3-0242ac13000d,2.0,Gleitung rotational/translational,140.94189453125,0.0,8.17,10.433333,26.4,-3.5,753.0,91.0,34.8075,530,29
2021-06-18 00:00:00,46.57658896543343,11.382062629554724,0bb2d894-562a-11ee-aa67-0242ac13000b,5.0,Schnelles Fliessen (Mure),12.38531494140625,22.85,7.29,9.141666,24.3,-3.9,746.0,94.0,38.19707,725,5
2021-06-18 00:00:00,46.593661967163,11.426217980144369,2fec1204-f887-11ec-8f15-0242ac13000d,2.0,Gleitung rotational/translational,12.38531494140625,22.85,7.29,4.3541665,17.7,-6.6,664.0,93.0,47.724346,1685,11
2021-06-18 00:00:00,46.599732907509264,11.419727224932666,8952a19c-f886-11ec-abd1-0242ac13000d,2.0,Gleitung rotational/translational,12.38531494140625,22.85,7.29,4.9583335,18.6,-6.1,656.0,93.0,48.725273,1581,9
2021-06-18 00:00:00,46.57947246653492,11.413999309044732,df391e98-f885-11ec-accc-0242ac13000d,2.0,Gleitung rotational/translational,12.38531494140625,22.85,7.29,5.2166667,18.8,-5.8,632.0,89.0,48.384182,1589,7
