Datum,Latitude,Longitude,UUID,MOVEMENT_C,MOVEMENT_D,Temperature_500hPa_K,Temperature_700hPa_K,Temperature_850hPa_K
2024-03-28 18:00:00,46.3052218693678,11.053339433875355,random-0038-no-landslide,99.0,No Rutschung,,,
2018-01-23 08:00:00,46.528600277487655,10.908991447002103,random-0039-no-landslide,99.0,No Rutschung,251.86245727539062,267.43896484375,274.217041015625
2019-10-22 04:00:00,46.80937507679608,11.509063737258552,random-0040-no-landslide,99.0,No Rutschung,259.579345703125,276.8681640625,280.252685546875
2019-12-12 22:00:00,46.88075796213414,11.16677873598475,random-0041-no-landslide,99.0,No Rutschung,246.33502197265625,260.02392578125,266.59814453125
2024-05-22 22:00:00,46.53621188323165,10.92674616663212,random-0042-no-landslide,99.0,No Rutschung,,,
2022-09-15 23:00:00,46.59628364874321,10.513517595820675,random-0043-no-landslide,99.0,No Rutschung,259.907958984375,275.656005859375,285.85888671875
2019-07-30 17:00:00,46.726776549620084,11.407128183886641,random-0044-no-landslide,99.0,No Rutschung,264.03271484375,279.51025390625,292.4306640625
2019-06-29 19:00:00,46.90667232999523,11.13184296929657,random-0045-no-landslide,99.0,No Rutschung,265.127197265625,283.092041015625,293.862060546875
2017-06-20 08:00:00,46.51949768813905,11.544143665274067,random-0046-no-landslide,99.0,No Rutschung,262.423583984375,279.283447265625,290.233154296875
2023-11-10 21:00:00,46.41028920154479,12.30025161613931,random-0047-no-landslide,99.0,No Rutschung,246.38856506347656,264.8173828125,273.726318359375
2019-03-21 22:00:00,46.946053020671656,10.77743347626783,random-0048-no-landslide,99.0,No Rutschung,254.18594360351562,272.540283203125,275.019287109375
2023-12-10 18:00:00,46.59048883045434,11.640375967338219,random-0049-no-landslide,99.0,No Rutschung,253.80580139160156,267.83837890625,272.678466796875
2018-03-17 14:00:00,46.477291408955026,10.562320836771507,random-0050-no-landslide,99.0,No Rutschung,247.24493408203125,265.781005859375,275.75390625
2024-02-19 01:00:00,46.33352026840117,10.94848763792339,random-0051-no-landslide,99.0,No Rutschung,,,
2018-07-08 08:00:00,46.71219628789715,10.953150150667005,random-0052-no-landslide,99.0,No Rutschung,261.70977783203125,276.07958984375,286.933837890625
2024-03-02 07:00:00,46.40337820961071,11.19175502538742,random-0053-no-landslide,99.0,No Rutschung,,,
2018-02-04 17:00:00,46.68358969639863,11.188255732870854,random-0054-no-landslide,99.0,No Rutschung,242.87554931640625,256.75634765625,268.24951171875
2023-07-07 23:00:00,46.81583312937252,11.246301619639558,random-0055-no-landslide,99.0,No Rutschung,260.36962890625,277.78515625,286.142333984375
2025-04-22 19:00:00,46.4598449391761,12.062496421794163,random-0056-no-landslide,99.0,No Rutschung,,,
2024-02-02 17:00:00,46.84594598733126,11.801656826008939,random-0057-no-landslide,99.0,No Rutschung,,,
2025-01-12 13:00:00,46.740217002626395,10.91235850932457,random-0058-no-landslide,99.0,No Rutschung,,,
